event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1.0,Argentina,home, 23' ,Penalty, Lionel Messi , Penalty 
2,1.0,Argentina,home, 36' ,Goal, Ángel Di María , Alexis Mac Allister 
10,1.0,France,away, 80' ,Penalty, Kylian Mbappé , Penalty 
11,1.0,France,away, 81' ,Goal, Kylian Mbappé , Marcus Thuram 
19,1.0,Argentina,home, 108' ,Goal, Lionel Messi ,
24,1.0,France,away, 118' ,Penalty, Kylian Mbappé , Penalty 
36,2.0,Croatia,home, 7' ,Goal, Joško Gvardiol , Ivan Perišić 
37,2.0,Morocco,away, 9' ,Goal, Achraf Dari ,
38,2.0,Croatia,home, 42' ,Goal, Mislav Oršić , Marko Livaja 
50,3.0,France,home, 5' ,Goal, Theo Hernandez ,
59,3.0,France,home, 79' ,Goal, Randal Kolo Muani ,
62,4.0,Argentina,home, 34' ,Penalty, Lionel Messi , Penalty 
63,4.0,Argentina,home, 39' ,Goal, Julián Álvarez ,
69,4.0,Argentina,home, 69' ,Goal, Julián Álvarez , Lionel Messi 
77,5.0,France,away, 17' ,Goal, Aurélien Tchouaméni , Antoine Griezmann 
80,5.0,England,home, 54' ,Penalty, Harry Kane , Penalty 
81,5.0,France,away, 78' ,Goal, Olivier Giroud , Antoine Griezmann 
90,6.0,Morocco,home, 42' ,Goal, Youssef En-Nesyri , Yahia Attiyat Allah 
105,7.0,Argentina,away, 35' ,Goal, Nahuel Molina , Lionel Messi 
114,7.0,Argentina,away, 73' ,Penalty, Lionel Messi , Penalty 
121,7.0,Netherlands,home, 83' ,Goal, Wout Weghorst , Steven Berghuis 
125,7.0,Netherlands,home, 101' ,Goal, Wout Weghorst , Teun Koopmeiners 
155,8.0,Brazil,away, 106' ,Goal, Neymar , Lucas Paquetá 
161,8.0,Croatia,home, 117' ,Goal, Bruno Petković , Mislav Oršić 
171,9.0,Portugal,home, 17' ,Goal, Gonçalo Ramos , João Félix 
172,9.0,Portugal,home, 33' ,Goal, Pepe , Bruno Fernandes 
175,9.0,Portugal,home, 51' ,Goal, Gonçalo Ramos ,
178,9.0,Portugal,home, 55' ,Goal, Raphaël Guerreiro , Gonçalo Ramos 
179,9.0,Switzerland,away, 58' ,Goal, Manuel Akanji ,
182,9.0,Portugal,home, 67' ,Goal, Gonçalo Ramos , João Félix 
189,9.0,Portugal,home, 92' ,Goal, Rafael Leão , Raphaël Guerreiro 
211,11.0,Brazil,home, 7' ,Goal, Vinícius Júnior , Neymar 
212,11.0,Brazil,home, 13' ,Penalty, Neymar , Penalty 
213,11.0,Brazil,home, 29' ,Goal, Richarlison , Thiago Silva 
214,11.0,Brazil,home, 36' ,Goal, Lucas Paquetá , Vinícius Júnior 
223,11.0,South Korea,away, 76' ,Goal, Paik Seung-ho ,
227,12.0,Japan,home, 43' ,Goal, Daizen Maeda , Maya Yoshida 
228,12.0,Croatia,away, 55' ,Goal, Ivan Perišić , Dejan Lovren 
250,13.0,England,home, 39' ,Goal, Jordan Henderson , Jude Bellingham 
251,13.0,England,home, 48' ,Goal, Harry Kane , Phil Foden 
255,13.0,England,home, 57' ,Goal, Bukayo Saka , Phil Foden 
265,14.0,France,home, 44' ,Goal, Olivier Giroud , Kylian Mbappé 
271,14.0,France,home, 74' ,Goal, Kylian Mbappé , Ousmane Dembélé 
277,14.0,France,home, 91' ,Goal, Kylian Mbappé , Marcus Thuram 
279,14.0,Poland,away, 99' ,Penalty, Robert Lewandowski , Penalty 
281,15.0,Argentina,home, 35' ,Goal, Lionel Messi , Nicolás Otamendi 
284,15.0,Argentina,home, 57' ,Goal, Julián Álvarez ,
292,15.0,Australia,away, 77' ,Own goal, Enzo Fernández , Own goal 
295,16.0,Netherlands,home, 10' ,Goal, Memphis , Denzel Dumfries 
296,16.0,Netherlands,home, 46' ,Goal, Daley Blind , Denzel Dumfries 
304,16.0,USA,away, 76' ,Goal, Haji Wright , Christian Pulisic 
305,16.0,Netherlands,home, 81' ,Goal, Denzel Dumfries , Daley Blind 
312,17.0,Switzerland,away, 20' ,Goal, Xherdan Shaqiri , Djibril Sow 
313,17.0,Serbia,home, 26' ,Goal, Aleksandar Mitrović , Dušan Tadić 
315,17.0,Serbia,home, 35' ,Goal, Dušan Vlahović ,
316,17.0,Switzerland,away, 44' ,Goal, Breel Embolo , Silvan Widmer 
318,17.0,Switzerland,away, 48' ,Goal, Remo Freuler , Ruben Vargas 
350,18.0,Cameroon,home, 92' ,Goal, Vincent Aboubakar , Jerome Ngom Mbekeli 
354,19.0,Uruguay,away, 26' ,Goal, Giorgian de Arrascaeta ,
355,19.0,Uruguay,away, 32' ,Goal, Giorgian de Arrascaeta , Luis Suárez 
372,20.0,Portugal,away, 5' ,Goal, Ricardo Horta , Diogo Dalot 
373,20.0,South Korea,home, 27' ,Goal, Kim Young-gwon ,
383,20.0,South Korea,home, 91' ,Goal, Hwang Hee-chan , Son Heung-min 
386,21.0,Spain,away, 11' ,Goal, Álvaro Morata , César Azpilicueta 
393,21.0,Japan,home, 48' ,Goal, Ritsu Dōan , Junya Ito 
394,21.0,Japan,home, 51' ,Goal, Ao Tanaka , Kaoru Mitoma 
402,22.0,Germany,away, 10' ,Goal, Serge Gnabry , David Raum 
406,22.0,Costa Rica,home, 58' ,Goal, Yeltsin Tejeda ,
409,22.0,Costa Rica,home, 70' ,Goal, Juan Pablo Vargas ,
